
amount,scheme,income,previous_applications,age,duplicate_aadhaar,fraud
6000,kisan,25000,1,45,0,0
20000,kisan,22000,2,50,0,0
150000,kisan,20000,3,55,1,1
300000,kisan,18000,4,60,1,1

8000,ujjwala,12000,0,30,0,0
12000,ujjwala,10000,1,35,0,0
180000,ujjwala,9000,2,40,1,1
250000,ujjwala,8000,3,45,1,1

100000,pmay,30000,1,35,0,0
200000,pmay,28000,2,40,0,0
400000,pmay,25000,3,50,1,1
600000,pmay,20000,4,55,1,1

5000,ayushman,15000,0,25,0,0
10000,ayushman,14000,1,30,0,0
150000,ayushman,12000,2,35,1,1
300000,ayushman,10000,3,40,1,1

50000,mudra,40000,1,30,0,0
100000,mudra,35000,2,35,0,0
300000,mudra,30000,3,40,1,1
700000,mudra,25000,4,45,1,1

7000,kisan,26000,1,48,0,0
9000,ujjwala,11000,0,32,0,0
150000,pmay,29000,2,38,0,0
250000,ayushman,13000,2,36,1,1
500000,mudra,28000,3,42,1,1

